116 3153 795 0827 933
183 3239 691 8057 468
164 1183 848 7742 928
139 2594 474 5344 948
162 9986 189 0499 498
103 9705 362 2911 054
137 8083 162 8829 227
181 8222 149 5102 207
114 1062 960 9572 732
191 8458 199 0489 149
184 6011 423 1826 002
165 4488 149 7134 010
130 7423 115 3569 738
135 2044 954 3139 976
165 7454 962 1509 590
151 7286 725 3314 130
167 5811 582 9545 585
163 2534 366 7074 124
111 8627 749 3823 796
136 9044 811 5530 234
156 5015 324 7546 118
157 1148 859 8367 665
123 2281 659 3482 954
192 7018 546 8275 937
114 8049 982 6127 956
154 5671 939 0097 740
184 1953 671 6456 436
141 6494 053 4671 234
126 9401 360 1508 889
132 6870 410 7667 310
104 7283 012 2369 700
168 6229 345 5920 457
196 4410 977 0963 052
156 7336 994 2758 840
105 2833 196 5144 781
172 0888 631 5336 543
112 1349 329 6815 688
164 3248 665 0515 694
160 2885 830 8255 540
134 9102 215 3331 493
172 7012 113 7849 069
112 6805 083 1535 976
161 6215 557 6271 475
162 3664 179 3757 438
181 1929 619 6492 861
146 6166 367 0082 591
184 1350 900 5211 172
192 8337 298 8116 552
117 8091 027 7479 693
160 9339 345 9764 651
